Parent (Corpus): program_0375e5d3-623c-49b3-abeb-41f67a11c268, Weight: 1000
  Child: program_d236f45b-9984-4318-a2fa-38736483f768, Weight: 500
  Child: program_a7d43018-0eb1-435e-8608-de6b5d91aed1, Weight: 500
  Child: program_e4e05f74-2e99-4c76-8c2a-44e46adc0083, Weight: 500
  Child: program_e654625e-f46c-46d4-9d24-21717c418182, Weight: 500
  Child: program_8e192c6d-57db-49d6-9f83-fc4688e2d695, Weight: 500
  Child: program_ef689ea4-3dae-42a6-91e7-25cbc31066f2, Weight: 500
  Child: program_3b750150-8b41-4442-a1a2-b68dae41c571, Weight: 500

Parent (Corpus): program_a8afe071-ca59-47d6-92d9-a2f16163370c, Weight: 1000
  Child: program_13a3d14a-d093-4f66-a641-b7aee2082666, Weight: 500
  Child: program_342f6bf3-8a24-468b-80db-a1354e1a7de3, Weight: 500
  Child: program_5e8678a0-807b-4b17-921b-43cb2c8f4f6c, Weight: 500
  Child: program_4a1e3ab4-fbd5-48bb-873b-c50b0cb1e7d1, Weight: 500
  Child: program_c802e666-273b-46f1-8668-ed363b354f3d, Weight: 500

Mutators:
Parent (Mutators): program_cff92d1b-0222-4d5b-bd59-3d7b4cc2556b, Weight: 1000
  Child: program_93880ca9-d23f-4faa-8c1d-f924b315f884, Weight: 500
  Child: program_918dd656-e955-4adf-8c0c-4175a90e161b, Weight: 500
  Child: program_ae1fffa9-ed04-42e8-bb7b-c29c8044831a, Weight: 500
  Child: program_d3daa3b6-3b7c-47f5-8dd1-0e3cd2947531, Weight: 500
  Child: program_531981c5-f2c1-46bf-a6e0-d8b75ae7c02b, Weight: 500
  Child: program_b93a25e5-8477-43b8-8635-03e4611d8415, Weight: 500

Parent (Mutators): program_d141ceae-11c2-48bb-9c9e-a1e0b5fbcbf3, Weight: 1000
  Child: program_9eb42301-f272-4086-a084-5f70b6200f52, Weight: 500
  Child: program_a7ce866c-e8a8-4fae-a5e0-4e27b04d32ed, Weight: 500
  Child: program_4860a415-868d-4133-aa22-cb9b3c68bae9, Weight: 500
  Child: program_3c7f505a-af46-4a50-9c19-25bf6e7698d3, Weight: 500
  Child: program_9dc7f677-b9fc-45bf-af4a-f49c9d2d48d0, Weight: 500
  Child: program_28328b1f-d58a-4fed-9e2d-aaee4980b5c7, Weight: 500
  Child: program_2cb81fbd-fc28-45ba-93b6-b5ef45b747fd, Weight: 500

Parent (Mutators): program_e74fbef6-8e87-4686-b048-68519e677c94, Weight: 1000
  Child: program_b82c1259-23c8-486b-9132-5ae267b9c19f, Weight: 500
  Child: program_d64dcd7b-3a22-4863-a013-c76d078633d1, Weight: 500
  Child: program_e85107c5-c99c-4db9-a117-a3e3912d9f3a, Weight: 500
  Child: program_f790ca67-4417-4464-91dc-dca8ea20c1b8, Weight: 500
  Child: program_d14155ee-cff3-4415-a873-cff7db735f76, Weight: 500
  Child: program_dca4e19e-b658-416d-bf6d-95ca5383882a, Weight: 500
